data,temp_max,temp_min
2018-07-28,33,31
2018-07-29,33,30
2018-07-31,34,30
2018-08-02,35,31
2018-08-10,33,27
2018-08-11,34,32
2018-08-16,34,30
2018-08-18,33,29
2018-08-19,33,29
2018-08-25,32,29
2018-08-26,32,30
2018-08-30,32,29
2018-09-03,33,28
2018-09-04,32,27
2018-09-05,28,24
2018-09-06,33,24
2018-09-07,32,27
2018-09-09,32,24
2018-09-10,34,25
2018-09-11,36,26
2018-09-12,35,26
2018-09-13,35,25
2018-09-14,36,25
2018-09-15,34,27
2018-09-16,42,30
2018-09-17,33,28
2018-09-18,43,28
2018-09-19,45,29
2018-09-20,46,30
2018-09-21,46,30
2018-09-22,47,34
2018-09-24,43,30
2018-09-25,44,28
2018-09-26,45,30
2018-09-27,49,30
2018-09-28,50,29
2018-09-29,50,33
2018-09-30,51,34
2018-10-09,50,30
2018-10-10,50,27
2018-10-11,49,34
2018-10-12,49,30
2018-10-13,49,23
2018-10-14,46,35
2018-10-15,50,29
2018-10-16,50,22
2018-10-17,49,22
2018-10-18,49,32
2018-10-20,49,29
2018-10-21,49,29
2018-10-22,48,28
2018-10-23,48,30
2018-10-24,49,30
2018-10-25,49,28
2018-10-26,46,27
2018-10-27,49,29
2018-10-28,46,33
2018-10-30,47,29
2018-10-31,47,30
2018-11-01,48,29
2018-11-02,48,30
2018-11-03,49,31
2018-11-04,49,31
2018-11-05,48,31
2018-11-17,47,30
2018-11-18,47,30
2018-11-19,46,27
2018-11-20,46,34
2018-11-21,47,35
2018-11-22,47,36
2018-11-23,47,34
2018-11-24,48,31
2018-11-25,46,33
2018-11-26,45,36
2018-11-27,43,25
2018-11-28,43,25
2018-11-29,43,33
2018-11-30,44,34
2018-12-01,43,34
2018-12-02,42,32
2018-12-03,43,21
2018-12-04,42,23
2018-12-05,43,24
2018-12-06,42,25
2018-12-07,41,25
2018-12-08,42,29
